City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Barrow,US,71.2906,-156.7887,35.62,93,100,13.8,moderate rain
80,Cameron Park,US,38.6688,-120.9872,82.45,40,16,1.01,few clouds
81,Hamilton,US,39.1834,-84.5333,72.45,95,40,4.61,fog
82,Haines Junction,CA,60.7522,-137.5108,62.55,42,60,9.22,broken clouds
83,Chuy,UY,-33.6971,-53.4616,57.94,96,35,1.81,scattered clouds
84,Taoudenni,ML,22.6783,-3.9836,91.92,10,0,10.96,clear sky
85,Swan Hill,AU,-35.3378,143.5544,59.18,49,92,11.5,overcast clouds
86,Lebu,CL,-37.6167,-73.65,49.1,88,46,10.63,scattered clouds
87,Yar-Sale,RU,66.8333,70.8333,60.3,55,89,8.81,overcast clouds
88,Bogashevo,RU,56.3683,85.1447,76.98,60,0,2.24,clear sky
89,The Pas,CA,53.8251,-101.2541,59.02,88,100,13.8,overcast clouds
90,Moron,AR,-34.6534,-58.6198,64.98,99,100,12.66,thunderstorm with light rain
91,Maltahohe,NA,-24.8333,16.9833,45.5,23,0,5.57,clear sky
92,Paratinga,BR,-12.6906,-43.1842,68.02,57,44,6.85,scattered clouds
93,Cumberland,US,35.0502,-78.8664,83.48,84,0,10.36,clear sky
94,Alofi,NU,-19.0595,-169.9187,73.29,73,28,6.91,scattered clouds
95,Lubao,PH,14.9167,120.55,87.87,63,88,8.79,overcast clouds
96,Salalah,OM,17.0151,54.0924,75.29,100,100,6.91,light intensity drizzle
97,Karratha,AU,-20.7377,116.8463,82.36,28,0,16.62,clear sky
98,Saint George,US,37.1041,-113.5841,79.39,65,40,3.44,scattered clouds
99,Carnarvon,AU,-24.8667,113.6333,73.27,34,81,5.46,broken clouds
100,Tecoanapa,MX,16.5167,-98.75,77.2,89,97,4.45,overcast clouds
101,Moreira Sales,BR,-24.0622,-53.0069,63.73,62,2,6.55,clear sky
102,Lompoc,US,34.6391,-120.4579,59.14,85,40,5.01,scattered clouds
103,Hilo,US,19.7297,-155.09,81.28,83,100,1.01,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,84.36,64,53,5.86,broken clouds
105,Belyy Yar,RU,53.6039,91.3903,66.85,72,0,2.24,clear sky
106,Lakki Marwat,PK,32.6079,70.9114,96.37,45,75,8.46,broken clouds
107,Ponta Do Sol,PT,32.6667,-17.1,71.13,74,0,4.74,clear sky
108,Ribeira Grande,PT,38.5167,-28.7,73.65,83,32,10.07,scattered clouds
109,Churachandpur,IN,24.3333,93.6667,83.91,54,88,2.37,overcast clouds
110,Hokitika,NZ,-42.7167,170.9667,52.41,85,100,4.88,overcast clouds
111,Castro,BR,-24.7911,-50.0119,52.2,91,2,3.44,clear sky
112,Yarim,YE,14.298,44.3779,65.75,46,93,3.27,overcast clouds
113,Qingyuan,CN,23.7,113.0333,98.58,47,45,4.25,scattered clouds
114,Margate,GB,51.3813,1.3862,61.9,81,100,1.01,overcast clouds
115,San Quintin,MX,30.4833,-115.95,66.92,86,24,8.39,few clouds
116,Faya,SA,18.3851,42.4509,72.12,42,100,7.0,overcast clouds
117,Lorengau,PG,-2.0226,147.2712,85.05,68,25,11.03,scattered clouds
118,Jadu,LY,31.953,12.0261,76.48,30,0,5.17,clear sky
119,Tura,IN,25.5198,90.2201,81.54,80,48,3.56,scattered clouds
120,Kavaratti,IN,10.5669,72.642,81.61,77,93,15.99,overcast clouds
121,Yeniseysk,RU,58.4497,92.1703,59.68,92,100,1.83,light rain
122,Lagoa,PT,39.05,-27.9833,72.36,87,29,14.52,scattered clouds
123,Severo-Kurilsk,RU,50.6789,156.125,54.77,82,96,5.08,overcast clouds
124,Solec Kujawski,PL,53.0837,18.2257,59.67,37,40,5.75,scattered clouds
125,Manokwari,ID,-0.8667,134.0833,83.8,69,81,9.82,broken clouds
126,Adrar,MR,20.5022,-10.0711,92.26,30,32,15.39,scattered clouds
127,Bilibino,RU,68.0546,166.4372,50.79,46,56,13.53,broken clouds
